"","ensembl_gene_id","hgnc_symbol","spin"
"1","ENSG00000162374","ELAVL4","Lamina related"
"2","ENSG00000162407","PPAP2B","Lamina related"
"3","ENSG00000116641","DOCK7","Lamina related"
"4","ENSG00000118473","SGIP1","Lamina related"
"5","ENSG00000232284","GNG12-AS1","Lamina related"
"6","ENSG00000116729","WLS","Lamina related"
"7","ENSG00000116754","SRSF11","Lamina related"
"8","ENSG00000154027","AK5","Lamina related"
"9","ENSG00000117114","LPHN2","Lamina related"
"10","ENSG00000142875","PRKACB","Lamina related"
"11","ENSG00000153904","DDAH1","Lamina related"
"12","ENSG00000137944","CCBL2","Lamina related"
"13","ENSG00000203910","C1orf146","Lamina related"
"14","ENSG00000162627","SNX7","Lamina related"
"15","ENSG00000162694","EXTL2","Lamina related"
"16","ENSG00000163393","SLC22A15","Lamina related"
"17","ENSG00000185630","PBX1","Lamina related"
"18","ENSG00000094963","FMO2","Lamina related"
"19","ENSG00000116147","TNR","Lamina related"
"20","ENSG00000075391","RASAL2","Lamina related"
"21","ENSG00000234871","LINC01032","Lamina related"
"22","ENSG00000134371","CDC73","Lamina related"
"23","ENSG00000162687","KCNT2","Lamina related"
"24","ENSG00000143473","KCNH1","Lamina related"
"25","ENSG00000196482","ESRRG","Lamina related"
"26","ENSG00000092978","GPATCH2","Lamina related"
"27","ENSG00000196660","SLC30A10","Lamina related"
"28","ENSG00000116141","MARK1","Lamina related"
"29","ENSG00000143507","DUSP10","Lamina related"
"30","ENSG00000133019","CHRM3","Lamina related"
"31","ENSG00000155816","FMN2","Lamina related"
"32","ENSG00000054282","SDCCAG8","Lamina related"
"33","ENSG00000162711","NLRP3","Lamina related"
"34","ENSG00000169224","GCSAML","Lamina related"
"35","ENSG00000229240","LINC00710","Lamina related"
"36","ENSG00000148481","FAM188A","Lamina related"
"37","ENSG00000148484","RSU1","Lamina related"
"38","ENSG00000148482","SLC39A12","Lamina related"
"39","ENSG00000165995","CACNB2","Lamina related"
"40","ENSG00000169126","ARMC4","Lamina related"
"41","ENSG00000150054","MPP7","Lamina related"
"42","ENSG00000243660","ZNF487","Lamina related"
"43","ENSG00000185532","PRKG1","Lamina related"
"44","ENSG00000236671","PRKG1-AS1","Lamina related"
"45","ENSG00000150275","PCDH15","Lamina related"
"46","ENSG00000185737","NRG3","Lamina related"
"47","ENSG00000108018","SORCS1","Lamina related"
"48","ENSG00000187164","KIAA1598","Lamina related"
"49","ENSG00000177640","CASC2","Lamina related"
"50","ENSG00000167346","MMP26","Lamina related"
"51","ENSG00000130413","STK33","Lamina related"
"52","ENSG00000165970","SLC6A5","Lamina related"
"53","ENSG00000165973","NELL1","Lamina related"
"54","ENSG00000182255","KCNA4","Lamina related"
"55","ENSG00000150672","DLG2","Lamina related"
"56","ENSG00000109861","CTSC","Lamina related"
"57","ENSG00000137673","MMP7","Lamina related"
"58","ENSG00000137634","NXPE4","Lamina related"
"59","ENSG00000154143","PANX3","Lamina related"
"60","ENSG00000043039","BARX2","Lamina related"
"61","ENSG00000111215","PRR4","Lamina related"
"62","ENSG00000188991","SLC15A5","Lamina related"
"63","ENSG00000139144","PIK3C2G","Lamina related"
"64","ENSG00000139154","AEBP2","Lamina related"
"65","ENSG00000118307","CASC1","Lamina related"
"66","ENSG00000241749","RPSAP52","Lamina related"
"67","ENSG00000166006","KCNC2","Lamina related"
"68","ENSG00000165891","E2F7","Lamina related"
"69","ENSG00000111058","ACSS3","Lamina related"
"70","ENSG00000139220","PPFIA2","Lamina related"
"71","ENSG00000133773","CCDC59","Lamina related"
"72","ENSG00000188596","C12orf55","Lamina related"
"73","ENSG00000185046","ANKS1B","Lamina related"
"74","ENSG00000226722","LINC00424","Lamina related"
"75","ENSG00000133116","KL","Lamina related"
"76","ENSG00000172915","NBEA","Lamina related"
"77","ENSG00000133083","DCLK1","Lamina related"
"78","ENSG00000133103","COG6","Lamina related"
"79","ENSG00000165659","DACH1","Lamina related"
"80","ENSG00000183098","GPC6","Lamina related"
"81","ENSG00000204442","FAM155A","Lamina related"
"82","ENSG00000139865","TTC6","Lamina related"
"83","ENSG00000259070","LINC00639","Lamina related"
"84","ENSG00000248550","OTX2-AS1","Lamina related"
"85","ENSG00000139970","RTN1","Lamina related"
"86","ENSG00000131951","LRRC9","Lamina related"
"87","ENSG00000140015","KCNH5","Lamina related"
"88","ENSG00000054983","GALC","Lamina related"
"89","ENSG00000165521","EML5","Lamina related"
"90","ENSG00000011114","BTBD7","Lamina related"
