"","ensembl_gene_id","hgnc_symbol","spin","tpm_resting","tpm_activated"
"1","ENSG00000005020","SKAP2","Lamina related",942.954772855701,1184.09247200792
"2","ENSG00000008277","ADAM22","Lamina related",866.828317428078,189.087892342496
"3","ENSG00000011114","BTBD7","Lamina related",2782.04931311777,1830.93545322837
"4","ENSG00000019169","MARCO","Lamina related",29.7666338257483,16.4739162339266
"5","ENSG00000030419","IKZF2","Lamina related",2828.96033638149,1382.1954677814
"6","ENSG00000039139","DNAH5","Lamina related",0,0
"7","ENSG00000043039","BARX2","Lamina related",10.8732819425282,135.209947253147
"8","ENSG00000044459","CNTLN","Lamina related",33.9915295417258,168.430950962447
"9","ENSG00000048052","HDAC9","Lamina related",245.558022782935,171.789276593632
"10","ENSG00000049192","ADAMTS6","Lamina related",567.25807274454,124.140871438678
"11","ENSG00000054282","SDCCAG8","Lamina related",3751.15467807098,2389.19641964256
"12","ENSG00000054983","GALC","Lamina related",3050.46458400216,1937.3282800603
"13","ENSG00000065833","ME1","Lamina related",116.8245726197,188.006248341296
"14","ENSG00000066405","CLDN18","Lamina related",2.4636696526742,0
"15","ENSG00000067900","ROCK1","Lamina related",13777.3173917254,15358.9845317017
"16","ENSG00000069020","MAST4","Lamina related",2597.82761778636,2096.99525648376
"17","ENSG00000069122","GPR116","Lamina related",0,0
"18","ENSG00000070019","GUCY2C","Interior_Act3",1.5698699448138,3.33438639231142
"19","ENSG00000070087","PFN2","Interior_Act3",2561.11796914784,503.114690220892
"20","ENSG00000070193","FGF10","Lamina related",0,0
"21","ENSG00000071205","ARHGAP10","Lamina related",592.871728635835,1200.79145432833
"22","ENSG00000071794","HLTF","Lamina related",7605.45882752687,7170.02116410162
"23","ENSG00000074706","IPCEF1","Lamina related",10855.9931917127,2573.0644451108
"24","ENSG00000075391","RASAL2","Lamina related",12.1406768558699,17.1179688679543
"25","ENSG00000075420","FNDC3B","Interior_Act3",1144.60721129464,1114.0144334809
"26","ENSG00000076641","PAG1","Lamina related",25962.8067296191,9414.82250178423
"27","ENSG00000076716","GPC4","Lamina related",1.88879716104763,6.02165799702159
"28","ENSG00000078295","ADCY2","Lamina related",0.73567791948258,0
"29","ENSG00000079215","SLC1A3","Lamina related",54.3641063915926,55.288866638973
"30","ENSG00000079689","SCGN","Lamina related",0,0
"31","ENSG00000081307","UBA5","Lamina related",3799.30560841366,6913.74313685918
"32","ENSG00000082269","FAM135A","Interior_Act3",1688.50206283437,1189.70429779861
"33","ENSG00000082293","COL19A1","Lamina related",149.529690972184,17.3351928132978
"34","ENSG00000086288","NME8","Lamina related",105.95167087559,0
"35","ENSG00000086289","EPDR1","Lamina related",119.832184011779,588.235183105898
"36","ENSG00000087053","MTMR2","Interior_Act3",2853.6046660112,9648.4231308254
"37","ENSG00000090989","EXOC1","Interior_Act3",11191.5513449744,9264.42397888963
"38","ENSG00000091129","NRCAM","Interior_Act3",968.749196705962,24.5250864545526
"39","ENSG00000091181","IL5RA","Lamina related",171.490711457636,86.4501617317441
"40","ENSG00000092108","SCFD1","Interior_Act3",5228.68762078177,7247.56251702794
"41","ENSG00000092978","GPATCH2","Lamina related",2094.99673175146,2020.87892388659
"42","ENSG00000094963","FMO2","Lamina related",1.53095804510625,0
"43","ENSG00000099139","PCSK5","Lamina related",1190.32850863379,185.915101922605
"44","ENSG00000099256","PRTFDC1","Interior_Act3",358.609426446703,107.453427169521
"45","ENSG00000100505","TRIM9","Interior_Act3",99.2018832441214,123.236498318308
"46","ENSG00000101542","CDH20","Lamina related",79.595966754191,45.5608339982836
"47","ENSG00000101746","NOL4","Lamina related",0,0
