"","chromosome_name","spin","spin_start","spin_end","ensembl_gene_id","hgnc_symbol"
"1","chr1","Interior_Act1",25726492,25826491,"ENSG00000204178","TMEM57"
"2","chr1","Interior_Act1",25826492,25926491,"ENSG00000204178","TMEM57"
"3","chr1","Interior_Repr1",33965601,34065600,"ENSG00000121904","CSMD2"
"4","chr1","Interior_Repr1",34065601,34165600,"ENSG00000121904","CSMD2"
"5","chr1","Interior_Repr1",34189959,34265601,"ENSG00000121904","CSMD2"
"6","chr1","Interior_Repr1",34265602,34365601,"ENSG00000121904","CSMD2"
"7","chr1","Interior_Repr1",34365602,34465601,"ENSG00000121904","CSMD2"
"8","chr1","Interior_Repr1",34465602,34565601,"ENSG00000121904","CSMD2"
"9","chr1","Interior_Repr1",34565602,34665601,"ENSG00000121904","CSMD2"
"10","chr1","Interior_Repr1",34565602,34665601,"ENSG00000142698","C1orf94"
"11","chr1","Interior_Repr1",34665602,34765601,"ENSG00000142698","C1orf94"
"12","chr1","Near_Lm2",50465673,50565672,"ENSG00000162374","ELAVL4"
"13","chr1","Near_Lm2",50565673,50665672,"ENSG00000162374","ELAVL4"
"14","chr1","Near_Lm2",50665673,50765672,"ENSG00000162374","ELAVL4"
"15","chr1","Near_Lm2",56865673,56965672,"ENSG00000162407","PPAP2B"
"16","chr1","Near_Lm2",56965673,57016384,"ENSG00000162407","PPAP2B"
"17","chr1","Near_Lm2",57065674,57165673,"ENSG00000162407","PPAP2B"
"18","chr1","Near_Lm1",62865672,62965671,"ENSG00000116641","DOCK7"
"19","chr1","Near_Lm1",62965672,63065671,"ENSG00000116641","DOCK7"
"20","chr1","Near_Lm1",63065672,63165671,"ENSG00000116641","DOCK7"
"21","chr1","Interior_Act3",65565684,65665683,"ENSG00000162433","AK4"
"22","chr1","Interior_Act3",65665684,65765683,"ENSG00000162433","AK4"
"23","chr1","Near_Lm2",66965684,67065683,"ENSG00000118473","SGIP1"
"24","chr1","Near_Lm2",67065684,67165683,"ENSG00000118473","SGIP1"
"25","chr1","Near_Lm2",67165684,67265683,"ENSG00000118473","SGIP1"
"26","chr1","Near_Lm2",68265684,68365683,"ENSG00000232284","GNG12-AS1"
"27","chr1","Near_Lm2",68365684,68465683,"ENSG00000232284","GNG12-AS1"
"28","chr1","Near_Lm2",68465684,68565683,"ENSG00000232284","GNG12-AS1"
"29","chr1","Near_Lm2",68565684,68665683,"ENSG00000232284","GNG12-AS1"
"30","chr1","Near_Lm2",68665684,68765683,"ENSG00000232284","GNG12-AS1"
"31","chr1","Near_Lm2",68465684,68565683,"ENSG00000116729","WLS"
"32","chr1","Near_Lm2",68565684,68665683,"ENSG00000116729","WLS"
"33","chr1","Near_Lm2",68665684,68765683,"ENSG00000116729","WLS"
"34","chr1","Near_Lm2",70665684,70765683,"ENSG00000116754","SRSF11"
"35","chr1","Near_Lm2",77665686,77765685,"ENSG00000154027","AK5"
"36","chr1","Near_Lm2",77765686,77865685,"ENSG00000154027","AK5"
"37","chr1","Near_Lm2",77865686,77965685,"ENSG00000154027","AK5"
"38","chr1","Near_Lm2",77965686,78065685,"ENSG00000154027","AK5"
"39","chr1","Lamina",81765686,81865685,"ENSG00000117114","LPHN2"
"40","chr1","Lamina",81865686,81965685,"ENSG00000117114","LPHN2"
"41","chr1","Lamina",81965686,82065685,"ENSG00000117114","LPHN2"
"42","chr1","Lamina",82065686,82165685,"ENSG00000117114","LPHN2"
"43","chr1","Lamina",82165686,82265685,"ENSG00000117114","LPHN2"
"44","chr1","Lamina",82265686,82365685,"ENSG00000117114","LPHN2"
"45","chr1","Lamina",82373115,82465684,"ENSG00000117114","LPHN2"
