"","chromosome_name","spin","ensembl_gene_id","hgnc_symbol"
"1","chr1","Interior_Act1","ENSG00000204178","TMEM57"
"2","chr1","Interior_Repr1","ENSG00000121904","CSMD2"
"3","chr1","Interior_Repr1","ENSG00000142698","C1orf94"
"4","chr1","Near_Lm2","ENSG00000162374","ELAVL4"
"5","chr1","Near_Lm2","ENSG00000162407","PPAP2B"
"6","chr1","Near_Lm1","ENSG00000116641","DOCK7"
"7","chr1","Interior_Act3","ENSG00000162433","AK4"
"8","chr1","Near_Lm2","ENSG00000118473","SGIP1"
"9","chr1","Near_Lm2","ENSG00000232284","GNG12-AS1"
"10","chr1","Near_Lm2","ENSG00000116729","WLS"
"11","chr1","Near_Lm2","ENSG00000116754","SRSF11"
"12","chr1","Near_Lm2","ENSG00000154027","AK5"
"13","chr1","Lamina","ENSG00000117114","LPHN2"
"14","chr1","Near_Lm2","ENSG00000142875","PRKACB"
"15","chr1","Interior_Act3","ENSG00000180869","C1orf180"
"16","chr1","Near_Lm2","ENSG00000153904","DDAH1"
"17","chr1","Near_Lm2","ENSG00000137944","CCBL2"
"18","chr1","Near_Lm1","ENSG00000203910","C1orf146"
"19","chr1","Lamina","ENSG00000162627","SNX7"
"20","chr1","Interior_Act3","ENSG00000162688","AGL"
"21","chr1","Near_Lm2","ENSG00000162694","EXTL2"
"22","chr1","Interior_Repr2","ENSG00000162777","DENND2D"
"23","chr1","Near_Lm1","ENSG00000163393","SLC22A15"
"24","chr1",NA,"ENSG00000232745","ANKRD20A14P"
"25","chr1","Near_Lm2","ENSG00000185630","PBX1"
"26","chr1","Near_Lm2","ENSG00000094963","FMO2"
"27","chr1","Near_Lm1","ENSG00000152061","RABGAP1L"
"28","chr1","Interior_Act3","ENSG00000152061","RABGAP1L"
"29","chr1","Near_Lm1","ENSG00000116147","TNR"
"30","chr1","Near_Lm2","ENSG00000075391","RASAL2"
"31","chr1","Lamina","ENSG00000075391","RASAL2"
"32","chr1","Near_Lm2","ENSG00000234871","LINC01032"
"33","chr1","Near_Lm2","ENSG00000134371","CDC73"
"34","chr1","Lamina","ENSG00000162687","KCNT2"
"35","chr1","Near_Lm2","ENSG00000143473","KCNH1"
"36","chr1","Lamina","ENSG00000196482","ESRRG"
"37","chr1","Lamina","ENSG00000092978","GPATCH2"
"38","chr1","Lamina","ENSG00000196660","SLC30A10"
"39","chr1","Near_Lm2","ENSG00000196660","SLC30A10"
"40","chr1","Near_Lm2","ENSG00000116141","MARK1"
"41","chr1","Near_Lm2","ENSG00000143507","DUSP10"
"42","chr1","Lamina","ENSG00000133019","CHRM3"
"43","chr1","Lamina","ENSG00000155816","FMN2"
"44","chr1","Near_Lm2","ENSG00000054282","SDCCAG8"
"45","chr1","Near_Lm2","ENSG00000162711","NLRP3"
"46","chr1","Near_Lm2","ENSG00000169224","GCSAML"
"47","chr10","Interior_Repr1","ENSG00000151631","AKR1C6P"
"48","chr10","Near_Lm2","ENSG00000229240","LINC00710"
"49","chr10","Interior_Repr2","ENSG00000077943","ITGA8"
"50","chr10","Near_Lm1","ENSG00000077943","ITGA8"
"51","chr10","Near_Lm1","ENSG00000148481","FAM188A"
"52","chr10","Near_Lm1","ENSG00000148484","RSU1"
"53","chr10","Near_Lm1","ENSG00000148482","SLC39A12"
"54","chr10","Near_Lm1","ENSG00000165995","CACNB2"
"55","chr10","Interior_Act3","ENSG00000136770","DNAJC1"
"56","chr10","Interior_Act3","ENSG00000099256","PRTFDC1"
"57","chr10","Near_Lm1","ENSG00000169126","ARMC4"
"58","chr10","Near_Lm1","ENSG00000150054","MPP7"
"59","chr10","Interior_Act3","ENSG00000120616","EPC1"
"60","chr10","Near_Lm1","ENSG00000120616","EPC1"
"61","chr10","Near_Lm1","ENSG00000243660","ZNF487"
"62","chr10","Interior_Act3","ENSG00000198964","SGMS1"
"63","chr10","Near_Lm2","ENSG00000198964","SGMS1"
"64","chr10","Near_Lm2","ENSG00000185532","PRKG1"
"65","chr10","Lamina","ENSG00000185532","PRKG1"
"66","chr10","Lamina","ENSG00000236671","PRKG1-AS1"
"67","chr10","Lamina","ENSG00000150275","PCDH15"
"68","chr10",NA,"ENSG00000122873","CISD1"
"69","chr10","Interior_Act3","ENSG00000151150","ANK3"
"70","chr10","Near_Lm2","ENSG00000151150","ANK3"
"71","chr10","Lamina","ENSG00000185737","NRG3"
"72","chr10","Interior_Repr1","ENSG00000138109","CYP2C9"
