"","ensembl_gene_id","chromosome_name","spin","hgnc_symbol","tpm_resting","tpm_activated"
"1","ENSG00000005020","chr7","Near_Lm1","SKAP2",942.954772855701,1184.09247200792
"2","ENSG00000008277","chr7","Near_Lm2","ADAM22",866.828317428078,189.087892342496
"3","ENSG00000008277","chr7","Lamina","ADAM22",866.828317428078,189.087892342496
"4","ENSG00000011114","chr14","Near_Lm1","BTBD7",2782.04931311777,1830.93545322837
"5","ENSG00000019169","chr2","Near_Lm1","MARCO",29.7666338257483,16.4739162339266
"6","ENSG00000030419","chr2","Lamina","IKZF2",2828.96033638149,1382.1954677814
"7","ENSG00000039139","chr5","Lamina","DNAH5",0,0
"8","ENSG00000039139","chr5","Near_Lm2","DNAH5",0,0
"9","ENSG00000043039","chr11","Near_Lm2","BARX2",10.8732819425282,135.209947253147
"10","ENSG00000044459","chr9","Near_Lm2","CNTLN",33.9915295417258,168.430950962447
"11","ENSG00000044459","chr9","Lamina","CNTLN",33.9915295417258,168.430950962447
"12","ENSG00000046653","chrX","Interior_Act3","GPM6B",1586.43267860272,308.06952309542
"13","ENSG00000046653","chrX","Near_Lm2","GPM6B",1586.43267860272,308.06952309542
"14","ENSG00000048052","chr7","Near_Lm2","HDAC9",245.558022782935,171.789276593632
"15","ENSG00000048052","chr7","Lamina","HDAC9",245.558022782935,171.789276593632
"16","ENSG00000049192","chr5","Near_Lm2","ADAMTS6",567.25807274454,124.140871438678
"17","ENSG00000051341","chr3","Near_Lm2","POLQ",213.310542308773,10638.8009871612
"18","ENSG00000051341","chr3","Interior_Act3","POLQ",213.310542308773,10638.8009871612
"19","ENSG00000054282","chr1","Near_Lm2","SDCCAG8",3751.15467807098,2389.19641964256
"20","ENSG00000054983","chr14","Near_Lm2","GALC",3050.46458400216,1937.3282800603
"21","ENSG00000061676","chr2","Near_Lm2","NCKAP1",314.213346767357,526.921322232903
"22","ENSG00000061676","chr2","Interior_Act3","NCKAP1",314.213346767357,526.921322232903
"23","ENSG00000065833","chr6","Near_Lm2","ME1",116.8245726197,188.006248341296
"24","ENSG00000066405","chr3","Near_Lm2","CLDN18",2.4636696526742,0
"25","ENSG00000067900","chr18","Near_Lm1","ROCK1",13777.3173917254,15358.9845317017
"26","ENSG00000069020","chr5","Near_Lm1","MAST4",2597.82761778636,2096.99525648376
"27","ENSG00000069122","chr6","Near_Lm2","GPR116",0,0
"28","ENSG00000070019","chr12","Interior_Act3","GUCY2C",1.5698699448138,3.33438639231142
"29","ENSG00000070087","chr3","Interior_Act3","PFN2",2561.11796914784,503.114690220892
"30","ENSG00000070193","chr5","Lamina","FGF10",0,0
"31","ENSG00000071205","chr4","Near_Lm2","ARHGAP10",592.871728635835,1200.79145432833
"32","ENSG00000071794","chr3","Near_Lm2","HLTF",7605.45882752687,7170.02116410162
"33","ENSG00000074706","chr6","Near_Lm2","IPCEF1",10855.9931917127,2573.0644451108
"34","ENSG00000075391","chr1","Near_Lm2","RASAL2",12.1406768558699,17.1179688679543
"35","ENSG00000075391","chr1","Lamina","RASAL2",12.1406768558699,17.1179688679543
"36","ENSG00000075420","chr3","Interior_Act3","FNDC3B",1144.60721129464,1114.0144334809
"37","ENSG00000076641","chr8","Near_Lm2","PAG1",25962.8067296191,9414.82250178423
"38","ENSG00000076716","chrX","Near_Lm1","GPC4",1.88879716104763,6.02165799702159
"39","ENSG00000077943","chr10","Interior_Repr2","ITGA8",1.26881605252629,0
"40","ENSG00000077943","chr10","Near_Lm1","ITGA8",1.26881605252629,0
"41","ENSG00000078295","chr5","Near_Lm2","ADCY2",0.73567791948258,0
"42","ENSG00000079215","chr5","Near_Lm1","SLC1A3",54.3641063915926,55.288866638973
"43","ENSG00000079482","chrX","Near_Lm2","OPHN1",15.8554502629612,11.8009720953195
"44","ENSG00000079482","chrX","Interior_Act3","OPHN1",15.8554502629612,11.8009720953195
"45","ENSG00000079482","chrX","Interior_Act1","OPHN1",15.8554502629612,11.8009720953195
"46","ENSG00000079689","chr6","Near_Lm1","SCGN",0,0
"47","ENSG00000081307","chr3","Near_Lm1","UBA5",3799.30560841366,6913.74313685918
"48","ENSG00000081479","chr2","Interior_Act3","LRP2",0.587432179791998,6.62527218426979
"49","ENSG00000081479","chr2","NAN","LRP2",0.587432179791998,6.62527218426979
"50","ENSG00000081853","chr5","Interior_Repr1","PCDHGA2",6.27049031238667,0
"51","ENSG00000081853","chr5","Interior_Act1","PCDHGA2",6.27049031238667,0
"52","ENSG00000081853","chr5","Interior_Act2","PCDHGA2",6.27049031238667,0
"53","ENSG00000081913","chr18","Interior_Act3","PHLPP1",826.416981542084,906.100418578161
"54","ENSG00000081913","chr18","Near_Lm1","PHLPP1",826.416981542084,906.100418578161
"55","ENSG00000081923","chr18","Interior_Repr2","ATP8B1",800.88021843962,97.5650446280194
"56","ENSG00000081923","chr18","Interior_Act2","ATP8B1",800.88021843962,97.5650446280194
"57","ENSG00000082146","chr2","Interior_Repr2","STRADB",2462.33270930014,3964.50757581779
"58","ENSG00000082269","chr6","Interior_Act3","FAM135A",1688.50206283437,1189.70429779861
"59","ENSG00000082293","chr6","Near_Lm2","COL19A1",149.529690972184,17.3351928132978
"60","ENSG00000083535","chr13","Near_Lm2","PIBF1",9976.36348767919,6611.87909637175
"61","ENSG00000083535","chr13","Interior_Act3","PIBF1",9976.36348767919,6611.87909637175
