"","chromosome_name","spin","ensembl_gene_id","hgnc_symbol"
"1","chr10","Near_Lm2","ENSG00000107518","ATRNL1"
"2","chr10","Lamina","ENSG00000107518","ATRNL1"
"3","chr10","Interior_Repr1","ENSG00000107518","ATRNL1"
"4","chr14","Interior_Act3","ENSG00000129521","EGLN3"
"5","chr14","Near_Lm1","ENSG00000129521","EGLN3"
"6","chr14","Interior_Repr2","ENSG00000129521","EGLN3"
"7","chr3","Lamina","ENSG00000227110","LMCD1-AS1"
"8","chr3","Near_Lm2","ENSG00000227110","LMCD1-AS1"
"9","chr3","Near_Lm1","ENSG00000227110","LMCD1-AS1"
"10","chr5","Near_Lm1","ENSG00000169862","CTNND2"
"11","chr5","Near_Lm2","ENSG00000169862","CTNND2"
"12","chr5","Lamina","ENSG00000169862","CTNND2"
"13","chr5","Interior_Repr1","ENSG00000204956","PCDHGA1"
"14","chr5","Interior_Act1","ENSG00000204956","PCDHGA1"
"15","chr5","Interior_Act2","ENSG00000204956","PCDHGA1"
"16","chr5","Interior_Repr1","ENSG00000081853","PCDHGA2"
"17","chr5","Interior_Act1","ENSG00000081853","PCDHGA2"
"18","chr5","Interior_Act2","ENSG00000081853","PCDHGA2"
"19","chr5","Interior_Repr1","ENSG00000254245","PCDHGA3"
"20","chr5","Interior_Act1","ENSG00000254245","PCDHGA3"
"21","chr5","Interior_Act2","ENSG00000254245","PCDHGA3"
"22","chr5","Interior_Repr1","ENSG00000254221","PCDHGB1"
"23","chr5","Interior_Act1","ENSG00000254221","PCDHGB1"
"24","chr5","Interior_Act2","ENSG00000254221","PCDHGB1"
"25","chr5","Interior_Repr1","ENSG00000262576","PCDHGA4"
"26","chr5","Interior_Act1","ENSG00000262576","PCDHGA4"
"27","chr5","Interior_Act2","ENSG00000262576","PCDHGA4"
"28","chr5","Interior_Repr1","ENSG00000253910","PCDHGB2"
"29","chr5","Interior_Act1","ENSG00000253910","PCDHGB2"
"30","chr5","Interior_Act2","ENSG00000253910","PCDHGB2"
"31","chr5","Interior_Repr1","ENSG00000253485","PCDHGA5"
"32","chr5","Interior_Act1","ENSG00000253485","PCDHGA5"
"33","chr5","Interior_Act2","ENSG00000253485","PCDHGA5"
"34","chr5","Interior_Repr1","ENSG00000262209","PCDHGB3"
"35","chr5","Interior_Act1","ENSG00000262209","PCDHGB3"
"36","chr5","Interior_Act2","ENSG00000262209","PCDHGB3"
"37","chr5","Interior_Repr1","ENSG00000253731","PCDHGA6"
"38","chr5","Interior_Act1","ENSG00000253731","PCDHGA6"
"39","chr5","Interior_Act2","ENSG00000253731","PCDHGA6"
"40","chr5","Interior_Repr1","ENSG00000253537","PCDHGA7"
"41","chr5","Interior_Act1","ENSG00000253537","PCDHGA7"
"42","chr5","Interior_Act2","ENSG00000253537","PCDHGA7"
"43","chr5","Interior_Repr1","ENSG00000253953","PCDHGB4"
"44","chr5","Interior_Act1","ENSG00000253953","PCDHGB4"
"45","chr5","Interior_Act2","ENSG00000253953","PCDHGB4"
"46","chr5","Interior_Repr1","ENSG00000253767","PCDHGA8"
"47","chr5","Interior_Act1","ENSG00000253767","PCDHGA8"
"48","chr5","Interior_Act2","ENSG00000253767","PCDHGA8"
"49","chr5","Near_Lm2","ENSG00000204764","RANBP17"
"50","chr5","Lamina","ENSG00000204764","RANBP17"
"51","chr5","Interior_Repr1","ENSG00000204764","RANBP17"
"52","chr7","Interior_Act3","ENSG00000243566","UPK3B"
"53","chr7","Near_Lm2","ENSG00000243566","UPK3B"
"54","chr7","Near_Lm1","ENSG00000243566","UPK3B"
"55","chr7","Near_Lm2","ENSG00000174469","CNTNAP2"
"56","chr7","Lamina","ENSG00000174469","CNTNAP2"
"57","chr7","Interior_Act3","ENSG00000174469","CNTNAP2"
"58","chrX","Near_Lm2","ENSG00000079482","OPHN1"
"59","chrX","Interior_Act3","ENSG00000079482","OPHN1"
"60","chrX","Interior_Act1","ENSG00000079482","OPHN1"
