"","ensembl_gene_id","chromosome_name","spin","spin_start","spin_end","hgnc_symbol","tpm_resting","tpm_activated"
"1","ENSG00000005020","chr7","Near_Lm1",26639620,26739619,"SKAP2",942.954772855701,1184.09247200792
"2","ENSG00000005020","chr7","Near_Lm1",26739620,26839619,"SKAP2",942.954772855701,1184.09247200792
"3","ENSG00000005020","chr7","Near_Lm1",26839620,26939619,"SKAP2",942.954772855701,1184.09247200792
"4","ENSG00000005020","chr7","Near_Lm1",26939620,27039619,"SKAP2",942.954772855701,1184.09247200792
"5","ENSG00000008277","chr7","Near_Lm2",87529316,87629315,"ADAM22",866.828317428078,189.087892342496
"6","ENSG00000008277","chr7","Near_Lm2",87629316,87729315,"ADAM22",866.828317428078,189.087892342496
"7","ENSG00000008277","chr7","Lamina",87729316,87829315,"ADAM22",866.828317428078,189.087892342496
"8","ENSG00000008277","chr7","Lamina",87829316,87929315,"ADAM22",866.828317428078,189.087892342496
"9","ENSG00000011114","chr14","Near_Lm1",93674233,93766346,"BTBD7",2782.04931311777,1830.93545322837
"10","ENSG00000011114","chr14","Near_Lm1",93766347,93866346,"BTBD7",2782.04931311777,1830.93545322837
"11","ENSG00000019169","chr2","Near_Lm1",119657577,119757576,"MARCO",29.7666338257483,16.4739162339266
"12","ENSG00000030419","chr2","Lamina",213764725,213864724,"IKZF2",2828.96033638149,1382.1954677814
"13","ENSG00000030419","chr2","Lamina",213864725,213964724,"IKZF2",2828.96033638149,1382.1954677814
"14","ENSG00000030419","chr2","Lamina",213964725,214064724,"IKZF2",2828.96033638149,1382.1954677814
"15","ENSG00000039139","chr5","Lamina",13600110,13700109,"DNAH5",0,0
"16","ENSG00000039139","chr5","Lamina",13700110,13800109,"DNAH5",0,0
"17","ENSG00000039139","chr5","Near_Lm2",13800110,13900109,"DNAH5",0,0
"18","ENSG00000039139","chr5","Near_Lm2",13900110,14000109,"DNAH5",0,0
"19","ENSG00000043039","chr11","Near_Lm2",129169896,129269895,"BARX2",10.8732819425282,135.209947253147
"20","ENSG00000043039","chr11","Near_Lm2",129269896,129369895,"BARX2",10.8732819425282,135.209947253147
"21","ENSG00000044459","chr9","Near_Lm2",17099999,17199998,"CNTLN",33.9915295417258,168.430950962447
"22","ENSG00000044459","chr9","Lamina",17199999,17299998,"CNTLN",33.9915295417258,168.430950962447
"23","ENSG00000044459","chr9","Lamina",17299999,17399998,"CNTLN",33.9915295417258,168.430950962447
"24","ENSG00000044459","chr9","Lamina",17399999,17499998,"CNTLN",33.9915295417258,168.430950962447
"25","ENSG00000044459","chr9","Lamina",17499999,17599998,"CNTLN",33.9915295417258,168.430950962447
"26","ENSG00000046653","chrX","Interior_Act3",13718120,13818119,"GPM6B",1586.43267860272,308.06952309542
"27","ENSG00000046653","chrX","Interior_Act3",13818120,13918119,"GPM6B",1586.43267860272,308.06952309542
"28","ENSG00000046653","chrX","Near_Lm2",13918120,14018119,"GPM6B",1586.43267860272,308.06952309542
"29","ENSG00000048052","chr7","Near_Lm2",18039624,18139623,"HDAC9",245.558022782935,171.789276593632
"30","ENSG00000048052","chr7","Near_Lm2",18139624,18239623,"HDAC9",245.558022782935,171.789276593632
"31","ENSG00000048052","chr7","Near_Lm2",18239624,18339623,"HDAC9",245.558022782935,171.789276593632
"32","ENSG00000048052","chr7","Near_Lm2",18339624,18439623,"HDAC9",245.558022782935,171.789276593632
"33","ENSG00000048052","chr7","Lamina",18439624,18539623,"HDAC9",245.558022782935,171.789276593632
"34","ENSG00000048052","chr7","Lamina",18539624,18639623,"HDAC9",245.558022782935,171.789276593632
"35","ENSG00000048052","chr7","Lamina",18639624,18739623,"HDAC9",245.558022782935,171.789276593632
"36","ENSG00000048052","chr7","Lamina",18739624,18839623,"HDAC9",245.558022782935,171.789276593632
"37","ENSG00000048052","chr7","Lamina",18839624,18939623,"HDAC9",245.558022782935,171.789276593632
"38","ENSG00000048052","chr7","Lamina",18939624,19039623,"HDAC9",245.558022782935,171.789276593632
"39","ENSG00000048052","chr7","Lamina",19039624,19139623,"HDAC9",245.558022782935,171.789276593632
"40","ENSG00000049192","chr5","Near_Lm2",64395828,64495827,"ADAMTS6",567.25807274454,124.140871438678
"41","ENSG00000049192","chr5","Near_Lm2",64495828,64595827,"ADAMTS6",567.25807274454,124.140871438678
"42","ENSG00000049192","chr5","Near_Lm2",64595828,64695827,"ADAMTS6",567.25807274454,124.140871438678
"43","ENSG00000049192","chr5","Near_Lm2",64695828,64795827,"ADAMTS6",567.25807274454,124.140871438678
"44","ENSG00000051341","chr3","Near_Lm2",121118848,121218847,"POLQ",213.310542308773,10638.8009871612
"45","ENSG00000051341","chr3","Interior_Act3",121218848,121318847,"POLQ",213.310542308773,10638.8009871612
"46","ENSG00000054282","chr1","Near_Lm2",243363303,243463302,"SDCCAG8",3751.15467807098,2389.19641964256
"47","ENSG00000054282","chr1","Near_Lm2",243463303,243563302,"SDCCAG8",3751.15467807098,2389.19641964256
"48","ENSG00000054282","chr1","Near_Lm2",243563303,243663302,"SDCCAG8",3751.15467807098,2389.19641964256
"49","ENSG00000054282","chr1","Near_Lm2",243663303,243763302,"SDCCAG8",3751.15467807098,2389.19641964256
"50","ENSG00000054983","chr14","Near_Lm2",88266345,88366344,"GALC",3050.46458400216,1937.3282800603
"51","ENSG00000054983","chr14","Near_Lm2",88366345,88466344,"GALC",3050.46458400216,1937.3282800603
"52","ENSG00000061676","chr2","Near_Lm2",183764729,183864728,"NCKAP1",314.213346767357,526.921322232903
"53","ENSG00000061676","chr2","Interior_Act3",183864729,183964728,"NCKAP1",314.213346767357,526.921322232903
"54","ENSG00000065833","chr6","Near_Lm2",83909720,84009719,"ME1",116.8245726197,188.006248341296
"55","ENSG00000065833","chr6","Near_Lm2",84009720,84109719,"ME1",116.8245726197,188.006248341296
"56","ENSG00000065833","chr6","Near_Lm2",84109720,84209719,"ME1",116.8245726197,188.006248341296
"57","ENSG00000066405","chr3","Near_Lm2",137618843,137718842,"CLDN18",2.4636696526742,0
"58","ENSG00000066405","chr3","Near_Lm2",137718843,137818842,"CLDN18",2.4636696526742,0
"59","ENSG00000067900","chr18","Near_Lm1",18510899,18579961,"ROCK1",13777.3173917254,15358.9845317017
"60","ENSG00000067900","chr18","Near_Lm1",18579962,18679961,"ROCK1",13777.3173917254,15358.9845317017
